Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
55.75,31.2,41.650000000000006,13.8,22.9,63.45,50.1,52.1
53.65,30.4,40.2,13.399999999999999,21.9,62.349999999999994,48.6,51.0
51.45,29.8,39.1,13.25,21.2,61.65,47.5,49.8
49.95,29.15,38.150000000000006,12.649999999999999,20.5,60.9,46.8,48.9
48.75,28.75,37.6,12.3,20.0,60.25,46.0,48.2
47.5,28.3,37.0,12.05,19.6,59.65,45.3,47.5
46.5,27.85,36.349999999999994,11.85,19.2,59.1,44.6,46.7
45.35,27.6,35.75,11.7,18.9,58.45,44.1,46.1
44.7,27.2,35.349999999999994,11.4,18.6,57.9,43.7,45.7
44.45,26.95,34.849999999999994,11.100000000000001,18.1,57.3,43.3,45.2
43.8,26.7,34.55,10.95,18.0,56.95,43.0,44.8
43.25,26.45,34.2,10.95,17.7,56.650000000000006,42.8,44.9
42.95,26.3,33.849999999999994,10.95,17.4,56.45,42.3,44.9
45.2,26.35,34.25,11.05,17.7,57.3,43.1,45.5
49.3,27.8,37.25,11.55,19.9,60.7,46.4,50.5
53.8,29.95,40.4,11.7,22.4,64.44999999999999,49.5,55.7
57.25,32.1,42.8,11.95,24.9,67.80000000000001,52.1,59.5
60.05,34.150000000000006,45.15,13.399999999999999,26.7,69.75,54.5,60.0
62.45,35.6,46.75,15.05,28.1,70.69999999999999,56.1,60.1
63.8,36.5,47.95,16.25,28.8,70.9,57.2,60.6
64.9,36.650000000000006,48.55,16.5,29.0,70.5,57.8,60.3
65.05,36.1,48.349999999999994,16.0,28.2,69.85,57.7,58.8
62.75,34.4,46.45,15.2,25.9,68.4,55.7,57.0
58.8,32.5,43.8,14.4,24.2,65.25,52.6,54.3
56.05,31.25,41.7,13.9,23.1,63.2,50.0,52.3
53.85,30.4,40.3,13.55,22.3,62.1,48.4,51.2
51.7,29.8,39.150000000000006,13.45,21.5,61.349999999999994,47.4,50.0
50.25,29.2,38.3,12.9,20.6,60.7,46.6,49.1
48.95,28.65,37.55,12.5,20.3,60.099999999999994,46.0,48.3
47.7,28.2,37.05,12.149999999999999,19.9,59.5,45.2,47.6
46.7,27.85,36.349999999999994,12.0,19.4,58.95,44.6,46.7
45.55,27.6,35.8,11.8,19.1,58.25,44.1,46.2
44.849999999999994,27.3,35.4,11.55,18.8,57.75,43.7,45.9
44.55,27.05,35.0,11.25,18.4,57.25,43.3,45.4
43.9,26.8,34.650000000000006,11.100000000000001,18.1,56.849999999999994,43.0,45.0
43.3,26.5,34.349999999999994,11.1,18.0,56.5,42.6,45.0
43.0,26.35,34.05,11.100000000000001,17.4,56.4,42.3,45.1
45.2,26.4,34.3,11.100000000000001,17.7,57.2,42.9,45.6
49.349999999999994,27.95,37.349999999999994,11.6,19.8,60.650000000000006,46.3,50.6
53.95,29.9,40.55,11.649999999999999,22.3,64.35,49.5,55.9
57.35,32.05,42.9,12.0,24.6,67.8,52.2,59.6
60.2,34.05,45.15,13.4,26.6,69.75,54.4,60.2
62.55,35.6,46.85,15.100000000000001,27.9,70.75,56.3,60.2
63.9,36.349999999999994,48.150000000000006,16.35,28.6,71.0,57.3,60.8
64.9,36.5,48.6,16.7,29.1,70.55000000000001,57.9,60.4
65.19999999999999,36.0,48.55,16.1,28.2,69.85,57.7,59.0
62.85,34.4,46.6,15.3,26.1,68.5,55.7,57.0
59.05,32.7,43.8,14.6,24.3,65.4,52.6,54.5
56.2,31.3,41.9,14.1,23.2,63.150000000000006,50.1,52.5
53.95,30.4,40.5,13.7,22.2,61.95,48.5,51.3
51.75,29.7,39.25,13.45,21.5,61.2,47.5,50.1
50.35,29.3,38.4,12.850000000000001,20.8,60.55,46.9,49.3
49.15,28.8,37.7,12.45,20.3,59.9,46.1,48.5
47.95,28.45,37.2,12.1,19.9,59.35,45.2,47.8
46.9,28.05,36.5,11.95,19.5,58.75,44.7,46.9
45.7,27.75,36.0,11.8,19.2,58.05,44.2,46.4
45.1,27.45,35.5,11.4,18.8,57.5,43.7,46.0
44.75,27.15,35.150000000000006,11.2,18.4,57.0,43.3,45.6
44.1,26.95,34.8,11.0,18.1,56.55,43.0,45.1
43.45,26.65,34.5,10.95,17.8,56.2,42.6,45.1
43.1,26.5,34.2,10.95,17.7,56.05,42.4,45.1
45.25,26.55,34.5,11.0,17.9,56.95,43.0,45.8
49.4,28.1,37.45,11.5,19.7,60.45,46.4,50.8
53.95,30.1,40.7,11.55,22.4,64.15,49.5,56.1
57.45,32.2,43.05,11.95,24.9,67.75,52.4,59.7
60.349999999999994,34.150000000000006,45.25,13.350000000000001,26.9,69.69999999999999,54.6,60.3
62.8,35.55,47.05,15.149999999999999,27.9,70.80000000000001,56.5,60.3
64.15,36.5,48.25,16.4,28.9,71.1,57.3,61.1
65.19999999999999,36.7,48.75,16.7,29.1,70.65,58.2,60.5
65.44999999999999,36.1,48.7,16.15,28.4,69.9,57.9,59.3
63.15,34.5,46.75,15.35,26.3,68.6,55.9,57.2
59.349999999999994,32.7,43.9,14.600000000000001,24.6,65.4,52.7,54.7
56.45,31.45,42.05,14.15,23.1,63.2,50.4,52.6
54.15,30.55,40.6,13.7,22.6,61.9,48.7,51.4
51.95,29.8,39.349999999999994,13.45,21.7,61.05,47.7,50.1
50.5,29.3,38.55,12.85,20.9,60.25,47.1,49.4
49.400000000000006,28.85,37.9,12.45,20.3,59.6,46.1,48.5
48.05,28.5,37.25,12.1,19.8,59.1,45.4,47.8
47.05,28.2,36.5,11.95,19.5,58.5,44.8,46.9
45.95,27.8,36.2,11.9,19.1,57.9,44.3,46.4
45.25,27.45,35.650000000000006,11.45,18.8,57.3,43.8,46.0
45.05,27.0,35.2,11.25,18.5,56.8,43.5,45.6
44.3,26.8,34.8,11.0,18.0,56.45,43.1,45.2
43.6,26.6,34.5,11.0,17.9,56.05,42.7,45.1
43.25,26.4,34.2,10.899999999999999,17.7,55.9,42.3,45.1
45.45,26.6,34.55,11.05,17.8,56.8,43.0,45.9
49.55,28.1,37.5,11.7,19.8,60.45,46.5,51.0
54.150000000000006,30.25,40.8,11.75,22.5,64.15,49.6,56.3
57.65,32.349999999999994,43.349999999999994,12.1,25.1,67.75,52.5,59.8
60.55,34.25,45.650000000000006,13.45,27.0,69.69999999999999,54.8,60.3
63.0,35.650000000000006,47.349999999999994,15.399999999999999,28.1,70.85,56.7,60.3
64.30000000000001,36.55,48.6,16.65,29.2,71.1,57.8,61.2
65.30000000000001,36.8,49.25,16.950000000000003,29.5,70.7,58.3,60.6
65.6,36.2,48.9,16.4,28.5,70.0,58.0,59.4
63.3,34.6,47.2,15.7,26.5,68.69999999999999,56.1,57.3
59.6,32.75,44.05,14.95,24.7,65.5,53.0,54.8
56.55,31.45,42.2,14.450000000000001,23.2,63.25,50.6,52.7
54.349999999999994,30.5,40.95,14.0,22.6,61.95,49.0,51.5
52.2,29.8,39.75,13.65,21.7,61.1,48.0,50.2
50.7,29.4,38.55,13.1,21.0,60.349999999999994,47.2,49.4
49.55,28.95,38.05,12.7,20.4,59.7,46.4,48.6
48.25,28.6,37.3,12.3,19.8,59.1,45.7,47.7
47.2,28.25,36.7,12.2,19.7,58.55,44.9,46.9
46.2,27.799999999999997,36.25,12.149999999999999,19.2,57.95,44.4,46.4
45.5,27.4,35.650000000000006,11.8,18.7,57.4,43.9,46.0
45.05,27.05,35.3,11.5,18.6,56.849999999999994,43.6,45.6
44.400000000000006,26.799999999999997,34.95,11.350000000000001,18.1,56.5,43.3,45.2
43.7,26.55,34.650000000000006,11.3,17.9,56.150000000000006,42.9,45.0
