Cluster 0,Cluster 1,Cluster 2,Cluster 3
37.7,28.45,50.05,27.1
39.7,31.15,52.9,28.9
41.3,32.9,55.150000000000006,30.3
42.9,34.1,57.2,31.4
43.9,34.55,58.35,32.1
43.9,35.099999999999994,58.75,32.3
43.2,34.099999999999994,58.150000000000006,31.75
41.5,31.8,56.349999999999994,30.15
39.5,29.65,53.2,28.6
38.3,28.85,51.2,27.75
37.5,27.9,49.7,26.95
36.7,26.7,48.4,26.4
36.1,26.2,47.25,25.85
35.4,25.65,46.349999999999994,25.299999999999997
34.9,25.35,45.7,25.0
34.3,24.65,45.3,24.65
34.0,24.1,44.599999999999994,24.35
33.6,23.65,44.2,24.05
33.3,23.35,43.650000000000006,23.85
32.8,22.85,43.25,23.6
32.4,22.55,42.849999999999994,23.4
32.2,22.4,42.55,23.2
32.8,23.0,43.45,23.4
35.1,25.65,46.7,24.700000000000003
37.6,28.6,49.8,27.05
39.5,31.2,52.650000000000006,28.7
41.1,33.05,55.150000000000006,30.3
42.8,34.2,57.150000000000006,31.5
43.7,34.8,58.25,32.1
43.9,35.3,58.65,32.150000000000006
43.1,34.3,58.05,31.8
41.7,32.1,56.3,30.2
39.4,29.85,53.1,28.6
38.2,29.0,51.1,27.6
37.3,28.35,49.75,26.9
36.6,27.0,48.55,26.35
35.8,26.45,47.349999999999994,25.8
35.2,26.0,46.349999999999994,25.35
34.6,25.55,45.7,24.95
34.2,25.05,45.0,24.65
33.9,24.35,44.55,24.3
33.7,23.95,44.0,24.05
33.3,23.65,43.55,23.799999999999997
32.8,23.1,43.2,23.55
32.3,22.950000000000003,42.849999999999994,23.3
32.2,22.700000000000003,42.6,23.2
32.7,23.25,43.4,23.35
35.1,25.95,46.7,24.75
37.2,28.700000000000003,49.7,26.9
39.3,31.299999999999997,52.55,28.8
41.1,33.2,55.2,30.4
43.0,34.35,57.2,31.5
43.6,35.1,58.1,32.25
44.0,35.599999999999994,58.6,32.349999999999994
43.3,34.55,58.0,31.6
41.5,32.3,56.150000000000006,30.45
39.5,29.95,53.0,28.65
38.0,28.9,51.0,27.7
37.2,28.45,49.5,27.0
36.5,27.3,48.45,26.35
35.8,26.700000000000003,47.3,25.9
35.3,26.25,46.45,25.5
34.6,25.85,45.650000000000006,25.2
34.1,25.3,45.05,24.7
33.8,24.7,44.4,24.45
33.6,24.2,43.95,24.15
33.3,23.950000000000003,43.45,23.9
32.7,23.4,43.150000000000006,23.7
32.5,23.3,42.75,23.5
32.3,23.05,42.45,23.35
32.6,23.450000000000003,43.4,23.5
35.0,26.15,46.8,24.85
37.1,28.75,49.8,26.9
39.1,31.45,52.75,28.85
41.4,33.4,55.349999999999994,30.45
42.8,34.55,57.25,31.6
43.7,35.25,58.3,32.4
