station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _3,station _4,station _5,station _6,station _7,station _8,station _9
-8.444444444444445,-11.888888888888888,-9.11111111111111,-6.388888888888888,-16.166666666666668,-9.666666666666666,-18.38888888888889,-14.055555555555555,-18.944444444444446,-15.88888888888889,-0.0555555555555563,-13.5,-2.722222222222221,1.3888888888888888,-0.6111111111111119,-7.944444444444445,-9.277777777777777,-0.1111111111111107,-9.61111111111111
-9.11111111111111,-10.555555555555555,-7.555555555555556,-5.499999999999999,-16.666666666666668,-9.88888888888889,-19.22222222222222,-14.277777777777777,-19.05555555555556,-15.166666666666666,-0.777777777777777,-13.88888888888889,-2.8888888888888884,1.722222222222223,-0.6666666666666663,-6.61111111111111,-9.5,-0.3333333333333341,-8.833333333333332
-10.555555555555555,-9.555555555555555,-6.444444444444445,-4.500000000000001,-17.166666666666664,-10.0,-20.0,-14.444444444444445,-18.944444444444446,-14.11111111111111,-2.3888888888888893,-14.277777777777777,-3.111111111111112,1.888888888888888,-0.8333333333333333,-5.444444444444445,-9.444444444444445,-0.7222222222222227,-8.61111111111111
-11.777777777777777,-8.777777777777779,-5.722222222222222,-3.6666666666666674,-17.444444444444443,-10.166666666666666,-20.33333333333333,-14.222222222222223,-18.38888888888889,-13.055555555555555,-3.777777777777778,-14.388888888888888,-3.2222222222222223,1.9444444444444444,-0.8888888888888896,-4.611111111111112,-8.5,-1.222222222222222,-9.055555555555555
-12.61111111111111,-8.222222222222223,-5.388888888888888,-2.9444444444444446,-17.72222222222222,-10.333333333333334,-20.666666666666668,-13.444444444444445,-17.666666666666668,-12.166666666666666,-4.833333333333333,-14.555555555555555,-3.2222222222222223,1.722222222222223,-0.944444444444444,-4.055555555555556,-7.222222222222222,-1.8333333333333337,-10.333333333333334
-13.38888888888889,-8.055555555555555,-5.555555555555555,-2.2222222222222223,-18.05555555555556,-10.499999999999998,-21.05555555555556,-12.333333333333332,-16.833333333333332,-11.555555555555555,-5.555555555555555,-14.833333333333332,-3.333333333333333,1.3888888888888888,-0.944444444444444,-3.5555555555555545,-6.333333333333332,-2.111111111111112,-12.277777777777779
-13.944444444444445,-8.222222222222223,-6.444444444444445,-1.722222222222223,-18.22222222222222,-10.388888888888888,-21.222222222222225,-11.22222222222222,-16.0,-11.27777777777778,-6.166666666666667,-14.88888888888889,-3.3888888888888897,0.4444444444444428,-0.8888888888888896,-3.5000000000000004,-5.388888888888888,-2.2222222222222223,-13.61111111111111
-14.5,-8.777777777777779,-8.555555555555555,-1.4999999999999996,-18.38888888888889,-8.833333333333332,-21.444444444444446,-10.0,-15.388888888888888,-11.11111111111111,-6.722222222222223,-15.166666666666666,-3.3888888888888897,-0.4999999999999992,-0.0555555555555563,-3.5555555555555545,-4.666666666666666,-2.3888888888888893,-14.555555555555555
-15.0,-9.72222222222222,-10.11111111111111,-1.4999999999999996,-18.61111111111111,-6.777777777777777,-21.77777777777778,-9.277777777777777,-14.833333333333332,-11.055555555555555,-7.222222222222222,-15.555555555555555,-3.5000000000000004,-1.0555555555555547,0.8333333333333333,-4.055555555555556,-4.222222222222223,-2.5,-15.166666666666666
-15.444444444444445,-10.611111111111112,-10.88888888888889,-1.8333333333333337,-18.666666666666668,-5.111111111111111,-22.0,-8.666666666666668,-14.555555555555555,-11.444444444444445,-7.5,-13.833333333333332,-3.277777777777777,-1.3888888888888888,1.3888888888888888,-5.0,-3.722222222222222,-2.555555555555556,-15.833333333333332
