Cluster 0,Cluster 1,Cluster 2,Cluster 3
54.5,26.9,65.65,37.2
54.05,26.299999999999997,65.69999999999999,36.6
52.3,24.6,64.05,35.1
48.8,22.4,60.75,33.2
46.650000000000006,21.5,57.55,31.9
45.25,20.5,55.5,30.6
44.0,19.95,54.45,30.0
42.95,19.7,53.5,29.4
42.25,19.1,52.650000000000006,28.9
41.6,18.299999999999997,52.099999999999994,28.5
40.7,17.950000000000003,51.4,28.2
40.1,17.55,50.849999999999994,27.8
39.55,17.35,50.45,27.5
39.05,16.9,50.2,27.1
38.7,16.65,49.9,26.8
38.2,16.35,49.7,26.7
37.9,16.1,49.45,26.4
38.45,16.05,50.150000000000006,26.7
41.5,17.85,53.7,28.4
45.150000000000006,20.2,57.1,31.1
48.1,22.35,59.8,33.2
50.7,23.8,62.150000000000006,35.1
52.55,25.45,63.6,36.2
54.0,26.6,64.9,36.9
54.4,26.85,65.9,37.0
53.95,26.2,65.9,36.5
52.349999999999994,24.549999999999997,64.35,35.0
48.8,22.3,60.8,33.1
46.5,21.35,57.55,31.8
45.3,20.35,55.55,30.7
44.05,19.85,54.5,30.0
43.05,19.6,53.6,29.4
42.25,19.049999999999997,52.8,29.0
41.55,18.299999999999997,52.25,28.6
40.849999999999994,17.950000000000003,51.5,28.2
40.2,17.65,51.0,27.8
39.7,17.4,50.6,27.5
39.2,17.05,50.4,27.1
38.8,16.8,50.1,26.8
38.4,16.35,49.95,26.6
38.1,16.1,49.75,26.4
38.55,16.15,50.4,26.6
41.55,17.85,53.8,28.4
45.150000000000006,20.1,57.1,31.0
48.1,22.3,59.8,33.0
50.6,24.05,62.099999999999994,35.0
52.55,25.5,63.5,36.1
53.95,26.6,64.9,36.8
54.349999999999994,26.9,65.80000000000001,37.0
53.9,26.1,65.94999999999999,36.5
52.3,24.450000000000003,64.35,34.9
48.8,22.25,60.9,33.1
46.6,21.299999999999997,57.55,31.7
45.349999999999994,20.4,55.55,30.6
44.1,19.8,54.55,29.9
