station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _2,station _3,station _4,station _5,station _6,station _7,station _8,station _9
0.7222222222222207,-7.166666666666666,-8.333333333333334,-2.999999999999999,-14.833333333333332,-13.944444444444445,-16.11111111111111,-15.944444444444445,-1.222222222222222,-2.000000000000001,-0.4999999999999992,-10.333333333333334,-9.388888888888888,-1.0000000000000004,-16.555555555555557,-14.833333333333332,-14.444444444444445
0.9999999999999984,-7.222222222222222,-8.88888888888889,-4.444444444444445,-13.833333333333332,-13.944444444444445,-15.72222222222222,-15.777777777777777,0.1111111111111126,-1.888888888888888,-0.5555555555555556,-9.444444444444445,-9.61111111111111,-1.4444444444444453,-16.833333333333332,-13.333333333333332,-12.444444444444443
1.1666666666666674,-6.388888888888888,-10.166666666666666,-5.555555555555555,-13.166666666666666,-14.0,-15.555555555555555,-15.61111111111111,0.8333333333333333,-2.055555555555555,-0.6666666666666663,-7.944444444444445,-9.666666666666666,-1.6111111111111105,-17.27777777777778,-11.888888888888888,-10.499999999999998
1.1111111111111112,-5.499999999999999,-11.722222222222223,-6.499999999999999,-12.888888888888888,-14.0,-15.72222222222222,-15.555555555555555,1.3333333333333326,-1.8333333333333337,-0.6666666666666663,-6.61111111111111,-8.777777777777779,-1.6666666666666663,-17.666666666666668,-10.555555555555555,-8.722222222222221
0.944444444444446,-4.500000000000001,-12.72222222222222,-7.333333333333333,-13.22222222222222,-14.055555555555555,-16.11111111111111,-15.499999999999998,1.555555555555554,-2.055555555555555,-0.7222222222222227,-5.444444444444445,-7.611111111111111,-1.7777777777777772,-17.944444444444443,-9.555555555555555,-7.222222222222222
0.5555555555555556,-3.6666666666666674,-13.72222222222222,-7.888888888888888,-14.055555555555555,-14.055555555555555,-16.666666666666668,-14.666666666666666,1.555555555555554,-2.2777777777777786,0.0555555555555563,-4.611111111111112,-6.722222222222223,-1.888888888888888,-18.166666666666668,-8.777777777777779,-6.166666666666667
-0.1111111111111107,-2.9444444444444446,-14.555555555555555,-8.277777777777777,-16.055555555555554,-14.055555555555555,-17.27777777777778,-13.61111111111111,0.9999999999999984,-2.333333333333333,0.8888888888888896,-4.055555555555556,-5.833333333333333,-2.055555555555555,-18.5,-8.222222222222223,-5.499999999999999
-0.6666666666666663,-2.2222222222222223,-15.22222222222222,-8.61111111111111,-17.88888888888889,-14.055555555555555,-17.5,-12.5,0.3888888888888904,-2.3888888888888893,1.4444444444444453,-3.5555555555555545,-5.055555555555556,-2.055555555555555,-18.77777777777777,-8.055555555555555,-5.166666666666667
-1.0555555555555547,-1.722222222222223,-15.777777777777777,-8.944444444444445,-19.166666666666668,-14.0,-17.72222222222222,-11.61111111111111,-1.1666666666666674,-2.2777777777777786,1.888888888888888,-3.5000000000000004,-4.611111111111112,-2.111111111111112,-19.05555555555556,-8.222222222222223,-5.222222222222221
-1.3333333333333326,-1.4999999999999996,-16.22222222222222,-9.222222222222223,-19.88888888888889,-14.055555555555555,-18.0,-11.0,-2.7777777777777777,-2.333333333333333,2.055555555555557,-3.5555555555555545,-4.166666666666667,-2.111111111111112,-19.22222222222222,-8.777777777777779,-6.111111111111111
-1.6111111111111105,-1.4999999999999996,-16.5,-9.666666666666666,-20.38888888888889,-13.72222222222222,-18.0,-10.722222222222223,-3.8333333333333326,-2.2222222222222223,2.1111111111111094,-4.055555555555556,-4.055555555555556,-2.111111111111112,-19.33333333333333,-9.72222222222222,-8.111111111111112
-1.7777777777777772,-1.8333333333333337,-16.944444444444443,-9.944444444444445,-20.72222222222222,-13.444444444444445,-18.33333333333333,-10.499999999999998,-4.666666666666666,-2.2777777777777786,2.055555555555557,-5.0,-4.055555555555556,-2.1666666666666656,-19.05555555555556,-10.611111111111112,-9.777777777777779
-2.000000000000001,-2.6111111111111107,-17.22222222222222,-10.11111111111111,-21.05555555555556,-12.999999999999998,-18.55555555555556,-10.444444444444445,-5.444444444444445,-2.111111111111112,1.722222222222223,-6.277777777777778,-4.500000000000001,-2.1666666666666656,-17.666666666666668,-11.444444444444445,-10.611111111111112
-2.2222222222222223,-3.333333333333333,-17.444444444444443,-10.22222222222222,-21.222222222222225,-12.888888888888888,-18.55555555555556,-10.777777777777777,-6.0,-1.3888888888888888,1.1666666666666674,-7.111111111111112,-5.444444444444445,-2.111111111111112,-15.777777777777777,-12.22222222222222,-11.5
-2.2777777777777786,-3.8333333333333326,-17.77777777777778,-10.333333333333334,-21.5,-12.944444444444445,-18.61111111111111,-11.333333333333332,-6.499999999999999,-0.6666666666666663,0.6111111111111119,-7.722222222222221,-6.61111111111111,-2.111111111111112,-13.72222222222222,-12.666666666666666,-12.444444444444443
