Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
46.3,30.5,17.1,45.9,46.0,39.349999999999994,26.05,11.8,59.7
45.4,30.0,16.85,45.4,45.7,38.9,25.8,11.45,59.2
45.1,29.7,16.45,45.0,45.2,38.5,25.5,11.2,58.8
44.3,29.4,16.1,44.4,45.0,38.1,25.45,11.0,58.35
43.3,29.1,15.95,44.0,44.8,37.7,25.3,10.95,58.05
43.0,28.9,15.600000000000001,43.7,44.8,37.45,25.05,11.05,57.9
45.1,29.4,16.4,44.2,45.5,37.6,25.3,11.0,58.7
49.3,31.6,18.25,47.4,51.0,40.45,27.15,11.85,62.2
53.6,34.1,20.35,51.0,56.0,43.4,28.75,12.0,65.85
56.8,36.6,22.4,54.2,59.5,46.0,31.05,12.2,69.15
59.6,38.2,24.2,56.5,61.0,48.45,32.4,13.55,71.15
61.9,39.4,25.45,58.3,60.9,50.3,33.55,15.15,72.2
63.2,40.4,25.95,59.2,60.8,51.5,34.349999999999994,16.4,72.7
64.2,40.8,26.299999999999997,59.4,60.4,52.05,34.349999999999994,16.6,72.55
64.6,40.4,25.75,58.8,59.7,51.9,33.849999999999994,16.05,71.85
63.2,38.4,24.15,56.8,57.0,50.349999999999994,32.05,15.25,70.2
59.3,36.6,22.25,53.9,54.2,46.95,30.45,14.5,66.6
55.5,35.3,21.15,51.8,52.1,44.9,29.3,13.95,64.0
53.6,34.2,20.5,50.5,50.9,43.7,28.7,13.5,63.2
51.8,33.5,19.9,49.3,49.8,42.7,27.95,13.25,62.650000000000006
50.0,32.8,19.45,48.5,49.0,41.7,27.45,12.65,61.85
48.9,32.2,18.55,47.8,48.1,41.1,26.95,12.3,61.05
47.9,31.7,18.2,47.1,47.4,40.349999999999994,26.55,12.05,60.5
47.1,31.1,17.799999999999997,46.4,46.6,39.7,26.05,11.9,59.85
46.4,30.5,17.4,45.8,46.1,39.150000000000006,25.85,11.7,59.3
45.4,29.9,17.0,45.3,45.8,38.7,25.55,11.35,58.75
45.1,29.3,16.65,44.8,45.4,38.25,25.25,11.1,58.35
44.3,29.1,16.3,44.3,45.1,37.9,25.1,10.9,57.900000000000006
43.4,28.9,16.05,43.8,44.9,37.5,24.9,10.9,57.65
43.1,28.7,15.75,43.5,44.9,37.25,24.8,11.0,57.5
45.4,29.2,16.55,44.0,45.4,37.349999999999994,25.25,11.0,58.2
49.6,31.5,18.4,47.3,51.1,40.3,26.9,11.75,61.849999999999994
54.0,34.1,20.5,50.8,56.2,43.25,28.85,11.85,65.45
57.2,36.5,22.5,54.0,59.7,46.05,30.95,12.1,68.65
59.9,38.1,24.3,56.5,61.3,48.6,32.4,13.5,70.7
62.3,39.4,25.55,58.1,61.2,50.45,33.7,15.15,71.75
63.5,40.4,26.2,59.2,61.0,51.7,34.5,16.25,72.2
64.6,40.9,26.7,59.3,60.6,52.2,34.5,16.5,72.1
65.0,40.6,25.95,58.6,59.8,52.0,33.65,15.95,71.44999999999999
63.5,38.4,24.1,56.8,57.2,50.3,32.05,15.149999999999999,69.8
59.5,36.5,22.55,53.8,54.4,47.0,30.4,14.350000000000001,66.19999999999999
55.8,35.3,21.6,51.8,52.2,44.849999999999994,29.3,13.8,63.8
53.9,34.2,20.85,50.3,51.0,43.6,28.6,13.399999999999999,62.8
52.1,33.4,20.15,49.2,49.9,42.6,27.95,13.25,62.25
50.3,32.9,19.75,48.3,49.1,41.7,27.45,12.649999999999999,61.5
49.2,32.2,19.1,47.6,48.2,40.849999999999994,27.1,12.3,60.7
48.1,31.6,18.45,47.0,47.6,40.2,26.65,12.05,60.15
47.4,31.0,18.1,46.3,46.8,39.5,26.3,11.85,59.5
46.7,30.5,17.7,45.6,46.3,38.9,25.9,11.7,58.95
45.7,30.1,17.35,45.0,45.8,38.55,25.55,11.4,58.4
45.4,29.5,16.85,44.5,45.4,37.95,25.3,11.100000000000001,58.0
44.6,29.1,16.6,44.1,45.2,37.6,25.05,10.95,57.55
43.8,28.9,16.35,43.8,45.0,37.3,24.9,10.95,57.3
43.4,28.7,16.1,43.5,45.0,37.1,24.7,10.95,57.1
45.7,29.2,16.5,43.8,45.6,37.25,25.0,11.05,57.7
49.9,31.3,18.4,47.2,51.3,40.25,26.7,11.55,61.4
54.3,33.8,20.6,50.8,56.4,43.1,28.700000000000003,11.7,65.1
57.4,36.3,22.65,54.0,60.0,46.150000000000006,30.75,11.95,68.25
60.1,37.9,24.4,56.4,61.5,48.7,32.3,13.399999999999999,70.35
62.6,39.4,25.6,58.0,61.4,50.45,33.55,15.05,71.55000000000001
63.8,40.4,26.35,59.1,61.2,51.55,34.2,16.25,72.0
65.0,40.8,26.85,59.3,60.7,52.25,34.55,16.5,72.0
65.1,40.5,26.1,58.6,59.9,51.9,33.75,16.0,71.30000000000001
63.6,38.7,24.25,56.8,57.4,50.2,32.05,15.2,69.65
59.7,36.3,22.7,53.6,54.6,47.05,30.35,14.4,66.05
56.2,35.2,21.85,51.6,52.3,44.9,29.45,13.9,63.650000000000006
54.2,34.3,21.1,50.1,51.3,43.5,28.7,13.55,62.7
52.3,33.5,20.200000000000003,49.1,50.1,42.5,28.15,13.45,62.05
50.8,32.8,19.75,48.2,49.3,41.6,27.45,12.9,61.35
49.4,32.1,19.15,47.5,48.4,40.75,27.1,12.5,60.55
48.4,31.6,18.8,46.8,47.6,40.05,26.6,12.149999999999999,59.95
47.7,31.1,18.35,46.0,46.9,39.45,26.15,12.0,59.3
46.9,30.7,17.9,45.4,46.3,38.95,25.85,11.8,58.8
46.0,30.2,17.6,44.9,45.9,38.4,25.65,11.55,58.25
45.6,29.8,17.05,44.4,45.6,37.9,25.3,11.25,57.9
44.9,29.3,16.75,44.1,45.2,37.6,25.0,11.100000000000001,57.45
43.9,29.1,16.549999999999997,43.8,45.0,37.25,24.6,11.1,57.2
43.5,29.0,16.25,43.5,45.1,37.0,24.55,11.100000000000001,57.05
45.7,29.3,16.65,43.9,45.8,37.2,24.85,11.100000000000001,57.75
49.9,31.4,18.55,47.3,51.4,40.2,26.75,11.6,61.5
54.4,34.0,20.700000000000003,51.0,56.6,43.1,28.7,11.649999999999999,65.1
57.5,36.2,22.8,54.1,60.1,46.25,30.75,12.0,68.2
60.2,37.9,24.55,56.5,61.8,48.849999999999994,32.3,13.4,70.35
62.7,39.3,25.6,58.2,61.6,50.6,33.6,15.100000000000001,71.6
63.9,40.3,26.5,59.0,61.4,51.8,34.349999999999994,16.35,72.05
65.0,40.7,26.95,59.3,61.0,52.349999999999994,34.650000000000006,16.7,72.0
65.3,40.4,26.25,58.7,60.2,51.95,33.849999999999994,16.1,71.25
63.8,38.8,24.35,57.0,57.6,50.349999999999994,32.2,15.3,69.65
59.9,36.4,22.8,53.7,54.6,47.25,30.5,14.6,66.05
56.4,35.4,21.9,51.6,52.5,45.05,29.75,14.1,63.6
54.2,34.2,21.2,50.2,51.4,43.650000000000006,28.9,13.7,62.55
52.5,33.4,20.25,49.0,50.3,42.6,28.2,13.45,61.95
50.9,32.7,19.7,48.1,49.4,41.8,27.700000000000003,12.850000000000001,61.2
49.5,32.3,19.25,47.4,48.6,40.95,27.2,12.45,60.45
48.4,31.7,18.7,46.8,47.8,40.25,26.75,12.1,59.85
47.9,31.2,18.4,46.2,47.0,39.650000000000006,26.3,11.95,59.099999999999994
47.0,30.7,18.05,45.6,46.5,39.1,26.0,11.8,58.55
46.0,30.3,17.75,45.0,46.0,38.5,25.8,11.4,58.0
45.6,29.8,17.3,44.6,45.7,38.1,25.5,11.2,57.6
44.9,29.4,16.9,44.1,45.3,37.7,25.2,11.0,57.2
44.0,29.1,16.65,43.9,45.2,37.349999999999994,24.95,10.95,56.95
43.8,28.9,16.35,43.5,45.2,37.1,24.7,10.95,56.8
45.7,29.5,16.65,44.0,45.8,37.4,25.0,11.0,57.45
49.9,31.6,18.6,47.3,51.6,40.349999999999994,26.95,11.5,61.25
54.4,34.2,20.75,51.0,56.7,43.1,28.9,11.55,64.95
57.6,36.3,22.8,54.2,60.3,46.349999999999994,30.75,11.95,68.05
60.4,38.0,24.45,56.6,61.9,48.95,32.5,13.350000000000001,70.4
63.0,39.4,25.65,58.3,61.7,50.7,33.55,15.149999999999999,71.6
64.2,40.5,26.6,59.2,61.6,51.95,34.25,16.4,72.05
65.3,40.7,27.3,59.4,61.3,52.55,34.6,16.7,72.0
65.6,40.6,26.65,59.0,60.5,52.1,34.150000000000006,16.15,71.3
