Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
53.3,29.9,48.9,21.799999999999997,10.600000000000001,31.9,62.7,51.400000000000006,41.55
51.25,28.95,48.0,21.05,10.0,31.2,62.1,50.2,40.75
49.65,28.4,47.150000000000006,20.299999999999997,9.25,30.7,61.3,49.1,39.7
48.400000000000006,27.75,46.150000000000006,19.950000000000003,9.25,30.3,60.8,48.45,39.0
47.25,27.1,45.6,19.55,9.2,30.0,60.1,47.75,38.25
46.25,26.75,45.15,19.05,9.25,29.6,59.6,47.400000000000006,37.5
45.1,26.15,44.599999999999994,18.7,9.2,29.4,58.9,47.099999999999994,37.05
44.4,25.65,44.2,18.4,8.85,29.1,58.4,46.65,36.45
44.1,25.4,43.75,17.8,8.75,28.6,57.8,46.349999999999994,36.0
43.5,25.05,43.349999999999994,17.6,8.7,28.3,57.4,46.099999999999994,35.55
42.9,24.7,42.95,17.35,8.75,28.1,57.1,45.900000000000006,35.3
42.7,24.5,42.6,17.05,8.85,28.0,57.0,45.6,35.05
44.9,24.9,43.45,17.35,8.8,28.0,58.0,47.0,35.5
49.0,27.4,46.650000000000006,19.75,8.8,29.6,61.5,52.4,38.349999999999994
53.5,30.4,49.650000000000006,22.2,9.899999999999999,31.6,65.0,58.5,41.45
57.0,33.150000000000006,52.4,24.799999999999997,11.85,33.4,68.2,60.55,44.05
59.849999999999994,35.25,54.75,26.8,13.5,35.0,70.5,62.7,46.45
62.2,36.9,56.5,28.1,15.15,36.1,71.3,63.55,48.05
63.5,38.25,57.55,28.9,16.25,36.8,71.5,63.05,49.349999999999994
64.55,38.9,58.1,29.0,16.5,36.8,71.0,62.650000000000006,49.85
64.85,38.0,57.849999999999994,28.15,15.95,36.1,70.2,61.400000000000006,49.45
62.5,36.05,55.95,25.95,15.149999999999999,34.7,68.8,58.25,47.95
58.55,32.95,52.8,24.2,13.55,33.5,65.6,55.25,44.95
55.75,31.35,50.45,23.1,12.149999999999999,32.5,63.5,52.75,42.849999999999994
53.65,29.95,48.849999999999994,22.25,10.85,31.7,62.4,51.55,41.5
51.45,29.1,47.8,21.3,10.2,30.9,61.8,50.349999999999994,40.5
49.95,28.55,47.25,20.65,9.5,30.5,61.0,49.349999999999994,39.650000000000006
48.75,27.95,46.3,20.200000000000003,9.05,30.1,60.4,48.599999999999994,38.8
47.5,27.35,45.5,19.8,9.0,29.7,59.8,48.0,38.2
46.5,26.85,45.0,19.4,8.95,29.5,59.2,47.599999999999994,37.349999999999994
45.35,26.4,44.55,18.95,9.0,29.2,58.5,47.25,36.95
44.7,26.0,44.0,18.700000000000003,8.7,28.8,57.9,46.85,36.45
44.45,25.6,43.55,18.35,8.55,28.3,57.3,46.5,35.849999999999994
